chrom	start	end	name	D6_CRoff_mc0995_fracs	D6_unedited_mc0995_fracs	dif_CRoff_unedit_D6_995
chr1	207321698	207321699	CpG_71	0.36	0.0	0.36
chr1	207321702	207321703	CpG_72	0.49	0.0	0.49
chr1	207321709	207321710	CpG_73	0.68	0.0	0.68
chr1	207321717	207321718	CpG_74	0.04	0.0	0.04
chr1	207321722	207321723	CpG_75	0.02	0.0	0.02
chr1	207321725	207321726	CpG_76	0.03	0.0	0.03
chr1	207321733	207321734	CpG_77	0.02	0.0	0.02
chr1	207321736	207321737	CpG_78	0.06	0.0	0.06
chr1	207321739	207321740	CpG_79	0.21	0.0	0.21
chr1	207321741	207321742	CpG_80	0.36	0.0	0.36
chr1	207321757	207321758	CpG_81	0.63	0.0	0.63
chr1	207321760	207321761	CpG_82	0.77	0.0	0.77
chr1	207321762	207321763	CpG_83	0.69	0.0	0.69
chr1	207321771	207321772	CpG_84	0.36	0.0	0.36
chr1	207321774	207321775	CpG_85	0.5	0.0	0.5
chr1	207321776	207321777	CpG_86	0.4	0.0	0.4
chr1	207321778	207321779	CpG_87	0.45	0.0	0.45
chr1	207321782	207321783	CpG_88	0.43	0.0	0.43
chr1	207321786	207321787	CpG_89	0.44	0.0	0.44
chr1	207321792	207321793	CpG_90	0.16	0.0	0.16
chr1	207321794	207321795	CpG_91	0.17	0.0	0.17
chr1	207321797	207321798	CpG_92	0.19	0.0	0.19
chr1	207321810	207321811	CpG_93	0.04	0.0	0.04
chr1	207321823	207321824	CpG_94	0.05	0.0	0.05
chr1	207321854	207321855	CpG_95	0.04	0.0	0.04
chr1	207321858	207321859	CpG_96	0.09	0.0	0.09
chr1	207321879	207321880	CpG_97	0.05	0.0	0.05
chr1	207321882	207321883	CpG_98	0.12	0.0	0.12
chr1	207321886	207321887	CpG_99	0.13	0.0	0.13
chr1	207321921	207321922	CpG_100	0.28	0.0	0.28
chr1	207321935	207321936	CpG_101	0.65	0.0	0.65
chr1	207321946	207321947	CpG_102	0.36	0.0	0.36
chr1	207321949	207321950	CpG_103	0.46	0.0	0.46
chr1	207321975	207321976	CpG_104	0.06	0.0	0.06
chr1	207321977	207321978	CpG_105	0.08	0.0	0.08
chr1	207321981	207321982	CpG_106	0.15	0.0	0.15
chr1	207321990	207321991	CpG_107	0.12	0.0	0.12
chr1	207321993	207321994	CpG_108	0.09	0.0	0.09
chr1	207322015	207322016	CpG_109	0.26	0.0	0.26
chr1	207322018	207322019	CpG_110	0.33	0.0	0.33
chr1	207322049	207322050	CpG_111	0.31	0.0	0.31
chr1	207322078	207322079	CpG_112	0.22	0.0	0.22
chr1	207322081	207322082	CpG_113	0.34	0.0	0.34
chr1	207322102	207322103	CpG_114	0.2	0.0	0.2
chr1	207322114	207322115	CpG_115	0.3	0.0	0.3
chr1	207322138	207322139	CpG_116	0.04	0.0	0.04
chr1	207322210	207322211	CpG_117	0.22	0.01	0.21
chr1	207322217	207322218	CpG_118	0.22	0.0	0.22
chr1	207322230	207322231	CpG_119	0.2	0.0	0.2
chr1	207322244	207322245	CpG_120	0.33	0.01	0.32
chr1	207322257	207322258	CpG_121	0.26	0.01	0.25
chr1	207322435	207322436	CpG_122	0.36	0.07	0.29
chr1	207322449	207322450	CpG_123	0.1	0.02	0.08
chr1	207322466	207322467	CpG_124	0.41	0.14	0.27
chr1	207322503	207322504	CpG_125	0.36	0.17	0.19
chr1	207322567	207322568	CpG_126	0.44	0.25	0.19
chr1	207322667	207322668	CpG_127	0.28	0.2	0.08
chr1	207322700	207322701	CpG_128	0.49	0.3	0.19
chr1	207322793	207322794	CpG_129	0.19	0.19	-0.0
chr1	207322878	207322879	CpG_130	0.49	0.46	0.03
chr1	207323409	207323410	CpG_131	0.42	0.39	0.03
chr1	207323613	207323614	CpG_132	0.33	0.3	0.03
chr1	207323695	207323696	CpG_133	0.48	0.49	-0.01
chr1	207323863	207323864	CpG_134	0.35	0.39	-0.04
chr1	207323917	207323918	CpG_135	0.6	0.62	-0.02
chr1	207324141	207324142	CpG_136	0.7	0.71	-0.01
chr1	207324450	207324451	CpG_137	0.43	0.49	-0.06
